Read_ID,Length,GC_Content,Average_Quality
SRR390728.43,36,58.333333333333336,24.916666666666668
SRR390728.44,36,33.33333333333333,22.52777777777778
SRR390728.45,36,38.88888888888889,24.27777777777778
SRR390728.46,36,66.66666666666666,23.694444444444443
SRR390728.47,36,36.11111111111111,24.805555555555557
SRR390728.48,36,30.555555555555557,24.944444444444443
SRR390728.49,36,30.555555555555557,24.916666666666668
SRR390728.50,36,52.77777777777778,24.333333333333332
SRR390728.51,36,63.888888888888886,24.194444444444443
SRR390728.52,36,63.888888888888886,24.5
SRR390728.53,36,41.66666666666667,24.805555555555557
SRR390728.54,36,33.33333333333333,24.88888888888889
SRR390728.55,36,25.0,24.444444444444443
SRR390728.56,36,41.66666666666667,24.5
SRR390728.57,36,30.555555555555557,23.0
SRR390728.58,36,36.11111111111111,24.166666666666668
SRR390728.59,36,33.33333333333333,24.61111111111111
SRR390728.60,36,36.11111111111111,24.055555555555557
SRR390728.61,36,50.0,24.666666666666668
SRR390728.62,36,50.0,22.86111111111111
SRR390728.63,36,25.0,23.38888888888889
SRR390728.64,36,38.88888888888889,24.75
SRR390728.65,36,16.666666666666664,22.0
SRR390728.66,36,19.444444444444446,24.75
SRR390728.67,36,33.33333333333333,24.5
SRR390728.68,36,44.44444444444444,24.444444444444443
SRR390728.69,36,55.55555555555556,24.083333333333332
SRR390728.70,36,52.77777777777778,24.583333333333332
SRR390728.71,36,52.77777777777778,24.416666666666668
SRR390728.72,36,55.55555555555556,23.97222222222222
SRR390728.73,36,27.77777777777778,24.75
SRR390728.74,36,66.66666666666666,24.86111111111111
SRR390728.75,36,58.333333333333336,22.944444444444443
SRR390728.76,36,52.77777777777778,24.72222222222222
SRR390728.77,36,47.22222222222222,24.11111111111111
SRR390728.78,36,44.44444444444444,24.555555555555557
SRR390728.79,36,58.333333333333336,24.833333333333332
SRR390728.80,36,50.0,22.305555555555557
SRR390728.81,36,61.111111111111114,24.583333333333332
SRR390728.82,36,61.111111111111114,23.694444444444443
SRR390728.83,36,38.88888888888889,24.666666666666668
SRR390728.84,36,22.22222222222222,23.166666666666668
SRR390728.85,36,41.66666666666667,24.11111111111111
SRR390728.86,36,33.33333333333333,23.52777777777778
SRR390728.87,36,38.88888888888889,24.333333333333332
SRR390728.88,36,47.22222222222222,23.083333333333332
SRR390728.89,36,47.22222222222222,24.333333333333332
SRR390728.90,36,38.88888888888889,23.61111111111111
SRR390728.91,36,55.55555555555556,24.75
SRR390728.92,36,33.33333333333333,24.5
SRR390728.93,36,36.11111111111111,24.86111111111111
SRR390728.94,36,55.55555555555556,24.833333333333332
SRR390728.95,36,41.66666666666667,24.27777777777778
SRR390728.96,36,72.22222222222221,22.416666666666668
SRR390728.97,36,52.77777777777778,24.833333333333332
SRR390728.98,36,50.0,24.583333333333332
SRR390728.99,36,50.0,24.583333333333332
SRR390728.100,36,50.0,24.805555555555557
SRR390728.101,36,47.22222222222222,21.88888888888889
SRR390728.102,36,38.88888888888889,24.72222222222222
SRR390728.103,36,50.0,24.52777777777778
SRR390728.104,36,44.44444444444444,24.194444444444443
SRR390728.105,36,44.44444444444444,23.916666666666668
SRR390728.106,36,41.66666666666667,21.916666666666668
SRR390728.107,36,27.77777777777778,19.75
SRR390728.108,36,52.77777777777778,24.555555555555557
SRR390728.109,36,55.55555555555556,24.25
SRR390728.110,36,55.55555555555556,24.88888888888889
SRR390728.111,36,44.44444444444444,23.333333333333332
SRR390728.112,36,61.111111111111114,21.52777777777778
SRR390728.113,36,50.0,24.86111111111111
SRR390728.114,36,55.55555555555556,24.166666666666668
